TIME_PERIOD,OBS_VALUE
2023-02,98.74138
2023-03,98.73559
2023-04,98.76765
2023-05,98.83607
2023-06,98.93295
2023-07,99.029
2023-08,99.10321
2023-09,99.15327
2023-10,99.19682
2023-11,99.26794
2023-12,99.37902
2024-01,99.52448
2024-02,99.67572
2024-03,99.80054
2024-04,99.86766
2024-05,99.88445
2024-06,99.88459
2024-07,99.91092
2024-08,99.97717
2024-09,100.0876
2024-10,100.2305
2024-11,100.3918
