Year,Month,Day,Leading_index
2001,5,5,98.23042
2001,5,6,98.23042
2001,5,7,98.23042
2001,5,8,98.23042
2001,5,9,98.23042
2001,5,10,98.23042
2001,5,11,98.23042
2001,5,12,98.23042
2001,5,13,98.23042
2001,5,14,98.23042
2001,5,15,98.23042
2001,5,16,98.23042
2001,5,17,98.23042
2001,5,18,98.23042
2001,5,19,98.23042
2001,5,20,98.23042
2001,5,21,98.23042
2001,5,22,98.23042
2001,5,23,98.23042
2001,5,24,98.23042
2001,5,25,98.23042
2001,5,26,98.23042
2001,5,27,98.23042
2001,5,28,98.23042
2001,5,29,98.23042
2001,5,30,98.23042
2001,5,31,98.23042
2001,6,1,98.20797
2001,6,2,98.20797
2001,6,3,98.20797
2001,6,4,98.20797
2001,6,5,98.20797
2001,6,6,98.20797
2001,6,7,98.20797
2001,6,8,98.20797
2001,6,9,98.20797
2001,6,10,98.20797
2001,6,11,98.20797
2001,6,12,98.20797
2001,6,13,98.20797
2001,6,14,98.20797
2001,6,15,98.20797
2001,6,16,98.20797
2001,6,17,98.20797
2001,6,18,98.20797
2001,6,19,98.20797
2001,6,20,98.20797
2001,6,21,98.20797
2001,6,22,98.20797
2001,6,23,98.20797
2001,6,24,98.20797
2001,6,25,98.20797
2001,6,26,98.20797
2001,6,27,98.20797
2001,6,28,98.20797
2001,6,29,98.20797
2001,6,30,98.20797
2001,7,1,98.16424
2001,7,2,98.16424
2001,7,3,98.16424
2001,7,4,98.16424
2001,7,5,98.16424
2001,7,6,98.16424
2001,7,7,98.16424
2001,7,8,98.16424
2001,7,9,98.16424
2001,7,10,98.16424
2001,7,11,98.16424
2001,7,12,98.16424
2001,7,13,98.16424
2001,7,14,98.16424
2001,7,15,98.16424
2001,7,16,98.16424
2001,7,17,98.16424
2001,7,18,98.16424
2001,7,19,98.16424
2001,7,20,98.16424
2001,7,21,98.16424
2001,7,22,98.16424
2001,7,23,98.16424
2001,7,24,98.16424
2001,7,25,98.16424
2001,7,26,98.16424
2001,7,27,98.16424
2001,7,28,98.16424
2001,7,29,98.16424
2001,7,30,98.16424
2001,7,31,98.16424
2001,8,1,98.10209
2001,8,2,98.10209
2001,8,3,98.10209
2001,8,4,98.10209
2001,8,5,98.10209
2001,8,6,98.10209
2001,8,7,98.10209
2001,8,8,98.10209
2001,8,9,98.10209
2001,8,10,98.10209
2001,8,11,98.10209
2001,8,12,98.10209
2001,8,13,98.10209
2001,8,14,98.10209
2001,8,15,98.10209
2001,8,16,98.10209
2001,8,17,98.10209
2001,8,18,98.10209
2001,8,19,98.10209
2001,8,20,98.10209
2001,8,21,98.10209
2001,8,22,98.10209
2001,8,23,98.10209
2001,8,24,98.10209
2001,8,25,98.10209
2001,8,26,98.10209
2001,8,27,98.10209
2001,8,28,98.10209
2001,8,29,98.10209
2001,8,30,98.10209
2001,8,31,98.10209
2001,9,1,98.06206
2001,9,2,98.06206
2001,9,3,98.06206
2001,9,4,98.06206
2001,9,5,98.06206
2001,9,6,98.06206
2001,9,7,98.06206
2001,9,8,98.06206
2001,9,9,98.06206
2001,9,10,98.06206
2001,9,11,98.06206
2001,9,12,98.06206
2001,9,13,98.06206
2001,9,14,98.06206
2001,9,15,98.06206
2001,9,16,98.06206
2001,9,17,98.06206
2001,9,18,98.06206
2001,9,19,98.06206
2001,9,20,98.06206
2001,9,21,98.06206
2001,9,22,98.06206
2001,9,23,98.06206
2001,9,24,98.06206
2001,9,25,98.06206
2001,9,26,98.06206
2001,9,27,98.06206
2001,9,28,98.06206
2001,9,29,98.06206
2001,9,30,98.06206
2001,10,1,98.11389
2001,10,2,98.11389
2001,10,3,98.11389
2001,10,4,98.11389
2001,10,5,98.11389
2001,10,6,98.11389
2001,10,7,98.11389
2001,10,8,98.11389
2001,10,9,98.11389
2001,10,10,98.11389
2001,10,11,98.11389
2001,10,12,98.11389
2001,10,13,98.11389
2001,10,14,98.11389
2001,10,15,98.11389
2001,10,16,98.11389
2001,10,17,98.11389
2001,10,18,98.11389
2001,10,19,98.11389
2001,10,20,98.11389
2001,10,21,98.11389
2001,10,22,98.11389
2001,10,23,98.11389
2001,10,24,98.11389
2001,10,25,98.11389
2001,10,26,98.11389
2001,10,27,98.11389
2001,10,28,98.11389
2001,10,29,98.11389
2001,10,30,98.11389
2001,10,31,98.11389
2001,11,1,98.28361
2001,11,2,98.28361
2001,11,3,98.28361
