Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,4,21,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,22,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,23,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,24,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,25,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,26,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,27,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,28,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,29,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,30,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,5,1,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,2,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,3,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,4,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,5,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,6,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,7,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,8,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,9,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,10,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,11,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,12,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,13,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,14,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,15,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,16,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,17,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,18,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,19,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,20,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,21,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,22,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,23,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,24,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,25,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
